date,latitude,longitude,water_temperature_celsius,temperature_drop_celsius,skin_ice_temperature_celsius,barometric_pressure_mb,rainfall_mm,month,fishing_opportunity,disaster_risk
2022-01-16 06:00:00,42.2107,4.501,9.73,2.31,7.11,1009.36,2.03,1,1,0
2022-01-16 12:00:00,67.2932,110.3053,20.01,0.62,19.6,1008.44,2.91,1,1,0
2022-01-16 18:00:00,46.0539,-14.6736,7.53,3.04,7.01,1016.51,3.77,1,1,0
2022-01-17 00:00:00,42.6421,-161.2956,23.28,8.14,22.21,1017.23,2.98,1,0,0
2022-01-17 06:00:00,54.4213,103.0602,3.16,3.62,2.29,1016.02,3.4,1,1,0
2022-01-17 12:00:00,36.3416,-107.509,3.42,6.18,1.57,1020.58,1.77,1,1,0
2022-01-17 18:00:00,66.0989,-86.8965,26.06,6.68,23.35,1010.29,0.87,1,1,0
2022-01-18 00:00:00,33.3548,-120.7057,19.49,0.71,16.6,1021.37,0.24,1,1,0
2022-01-18 06:00:00,74.4099,-61.1226,21.82,5.15,19.86,1008.5,1.09,1,1,0
2022-01-18 12:00:00,64.751,92.4305,8.7,3.85,6.18,1007.94,4.36,1,1,0
2022-01-18 18:00:00,38.9422,6.9789,17.11,7.69,15.54,1004.2,7.71,1,1,0
2022-01-19 00:00:00,30.2485,-106.2427,16.36,3.13,15.73,1010.77,0.93,1,1,0
2022-01-19 06:00:00,66.6958,136.0188,13.87,6.61,12.3,1010.48,0.57,1,1,0
2022-01-19 12:00:00,61.8086,136.6495,17.17,6.18,15.51,1015.63,6.92,1,1,0
2022-01-19 18:00:00,62.8053,133.4082,17.81,2.49,15.58,1014.22,1.82,1,1,0
2022-01-20 00:00:00,64.7072,-94.0334,16.44,1.13,15.78,1007.04,15.13,1,1,0
2022-01-20 06:00:00,33.332,-17.5538,9.68,4.81,8.57,1011.04,6.26,1,1,0
2022-01-20 12:00:00,46.131,174.5963,21.88,2.63,20.79,1011.14,1.98,1,1,0
2022-01-20 18:00:00,35.2141,97.9245,5.7,8.4,2.82,1004.12,1.71,1,0,0
2022-01-21 00:00:00,68.8397,-170.2197,20.17,6.89,18.83,1008.1,3.71,1,1,0
2022-01-21 06:00:00,58.0484,-156.5263,8.06,5.35,5.79,1009.15,0.41,1,1,0
2022-01-21 12:00:00,44.8904,-12.9847,18.12,5.54,15.87,1020.17,0.63,1,1,0
2022-01-21 18:00:00,32.8601,147.3193,19.45,5.39,18.65,1013.96,0.97,1,1,0
2022-01-22 00:00:00,43.9942,13.9326,12.02,7.92,10.3,1016.31,7.45,1,1,0
2022-01-22 06:00:00,44.6332,-0.7875,4.45,5.46,1.77,1005.51,3.61,1,1,0
2022-01-22 12:00:00,62.8323,-142.0295,8.87,3.82,7.45,1018.97,0.05,1,1,0
2022-01-22 18:00:00,58.6901,56.4408,16.56,2.96,13.73,1019.51,5.6,1,1,0
2022-01-23 00:00:00,69.9246,115.9571,21.67,4.62,21.03,1003.01,2.76,1,1,0
2022-01-23 06:00:00,51.2497,-43.0488,5.53,5.54,5.31,1009.47,3.58,1,1,0
2022-01-23 12:00:00,35.3817,99.2203,17.99,4.22,15.32,1015.48,1.2,1,1,0
2022-01-23 18:00:00,62.096,167.2116,11.8,2.05,9.26,1016.22,4.01,1,1,0
2022-01-24 00:00:00,64.2353,-106.6441,14.45,6.8,11.47,1009.61,19.35,1,1,0
2022-01-24 06:00:00,55.2575,8.3987,24.06,1.8,22.02,1011.47,0.38,1,0,0
2022-01-24 12:00:00,64.6935,-76.6303,11.81,2.89,9.0,1010.01,1.67,1,1,0
2022-01-24 18:00:00,52.2208,105.4276,15.9,4.21,13.42,1013.55,1.39,1,1,0
2022-01-25 00:00:00,53.523,27.9336,7.12,3.61,4.59,1018.99,1.43,1,0,0
2022-01-25 06:00:00,49.2393,48.4497,4.53,6.72,2.82,1009.14,2.38,1,1,0
2022-01-25 12:00:00,31.1439,107.2491,11.91,4.28,10.76,1018.0,8.52,1,1,0
2022-01-25 18:00:00,34.8551,-37.4506,3.18,5.77,0.38,1009.09,12.2,1,1,0
2022-01-26 00:00:00,31.4143,149.4324,18.8,4.92,17.51,1008.76,1.13,1,1,0
2022-01-26 06:00:00,58.6385,11.8904,14.77,2.65,13.15,1017.09,3.91,1,1,0
2022-01-26 12:00:00,44.146,-123.1363,12.14,2.53,10.8,1017.61,5.07,1,1,0
2022-01-26 18:00:00,52.8857,70.5237,8.68,8.68,6.98,1017.26,3.69,1,1,0
2022-01-27 00:00:00,70.8405,105.5741,9.98,4.97,8.57,1006.42,2.85,1,1,0
2022-01-27 06:00:00,41.2182,-65.9658,16.76,4.12,16.62,1010.67,1.07,1,1,0
2022-01-27 12:00:00,48.4672,128.5845,27.01,0.08,24.36,1017.11,3.35,1,0,0
2022-01-27 18:00:00,63.9998,146.2116,4.7,6.01,3.37,1013.21,2.56,1,1,0
2022-01-28 00:00:00,40.2959,-80.3144,21.19,4.81,19.43,1007.63,7.94,1,1,0
2022-01-28 06:00:00,33.4641,174.0677,16.69,5.3,16.27,1015.29,7.21,1,1,0
2022-01-28 12:00:00,43.0388,-129.3438,17.65,6.39,17.64,1009.43,0.72,1,1,0
2022-01-28 18:00:00,37.255,-107.2744,14.72,2.45,13.99,1021.97,0.46,1,1,0
2022-01-29 00:00:00,71.8364,-113.6791,8.72,3.65,6.61,1020.72,11.94,1,1,0
2022-01-29 06:00:00,66.3654,141.8363,7.86,8.2,7.56,1016.02,3.83,1,0,0
2022-01-29 12:00:00,58.5032,55.5453,12.66,8.81,9.94,1019.81,9.75,1,1,0
2022-01-29 18:00:00,69.2157,-125.2425,10.76,2.51,10.12,1013.32,0.3,1,1,0
2022-01-30 00:00:00,66.1652,-21.4836,22.22,4.26,21.61,1016.83,3.74,1,1,0
2022-01-30 06:00:00,38.3957,41.5073,14.09,2.8,13.55,1020.39,3.88,1,1,0
2022-01-30 12:00:00,70.1652,-149.9529,2.62,2.72,2.57,1014.23,9.86,1,1,0
2022-01-30 18:00:00,54.2704,137.6699,24.39,2.66,22.08,1011.72,0.51,1,1,0
2022-01-31 00:00:00,66.3348,109.2973,11.93,2.46,9.3,1004.48,1.38,1,1,0
2022-01-31 06:00:00,70.3241,1.8744,15.81,6.6,13.96,1012.58,2.61,1,1,0
2022-01-31 12:00:00,44.3102,168.1656,21.32,4.64,20.76,1017.12,10.04,1,1,0
2022-01-31 18:00:00,34.9523,-29.606,27.69,0.88,25.0,1017.73,13.97,1,0,0
2022-02-01 00:00:00,40.2571,174.2797,22.59,0.32,21.16,1015.52,24.62,2,0,0
2022-02-01 06:00:00,49.2199,60.4512,20.42,6.92,17.56,1010.29,15.99,2,1,0
2022-02-01 12:00:00,66.8107,48.4817,18.85,2.02,18.11,1003.12,0.03,2,1,0
2022-02-01 18:00:00,68.7329,-120.2562,23.64,4.99,21.44,1010.52,0.24,2,0,0
2022-02-02 00:00:00,30.3128,137.494,9.96,4.2,8.65,1011.48,0.8,2,1,0
2022-02-02 06:00:00,52.9836,-26.1037,3.37,6.85,2.48,1011.44,2.15,2,1,0
2022-02-02 12:00:00,48.7835,-121.596,9.07,4.12,7.7,1016.09,8.86,2,1,0
2022-02-02 18:00:00,39.9949,-175.4613,6.66,2.53,6.44,1022.93,11.16,2,1,0
2022-02-03 00:00:00,35.3939,21.512,18.08,2.48,15.69,1013.62,1.03,2,1,0
2022-02-03 06:00:00,45.1927,9.8639,14.3,2.57,13.57,1011.92,4.83,2,1,0
2022-02-03 12:00:00,72.4309,78.9673,17.25,4.2,15.07,1011.7,12.47,2,1,0
2022-02-03 18:00:00,44.5441,140.4929,5.25,7.24,5.05,1013.62,3.12,2,1,0
2022-02-04 00:00:00,53.3456,-151.4136,19.87,2.62,17.0,1008.86,0.55,2,1,0
2022-02-04 06:00:00,61.6359,83.3387,10.43,1.55,9.85,1013.6,3.06,2,1,0
2022-02-04 12:00:00,46.3633,-112.5317,24.45,4.21,21.81,1015.25,2.36,2,1,0
2022-02-04 18:00:00,73.7302,128.9437,18.85,5.46,16.42,1014.05,4.31,2,1,0
2022-02-05 00:00:00,73.3101,114.8629,9.37,9.27,6.46,1015.29,2.89,2,1,0
2022-02-05 06:00:00,41.3302,14.6858,8.16,6.4,6.72,1015.17,0.09,2,1,0
2022-02-05 12:00:00,52.3762,75.6874,5.67,5.7,3.49,1004.14,25.58,2,1,0
2022-02-05 18:00:00,43.5395,-66.834,19.6,5.13,18.49,1016.18,3.92,2,1,0
2022-02-06 00:00:00,42.8178,-10.3796,20.69,7.85,20.13,1009.64,3.21,2,1,0
2022-02-06 06:00:00,31.6599,115.7893,18.86,7.24,17.53,1007.52,15.46,2,1,0
2022-02-06 12:00:00,57.4304,-14.6645,5.71,4.51,5.21,1007.48,0.85,2,1,0
2022-02-06 18:00:00,52.6206,-51.1926,14.98,2.9,12.03,1015.17,1.05,2,1,0
2022-02-07 00:00:00,32.3165,-2.0835,21.57,2.44,21.28,1011.89,8.25,2,1,0
2022-02-07 06:00:00,42.5391,118.1697,23.34,4.2,21.58,1004.59,1.51,2,1,0
2022-02-07 12:00:00,70.872,-59.3251,5.66,7.89,3.78,1015.39,8.03,2,1,0
2022-02-07 18:00:00,40.7803,-117.4458,5.95,5.93,4.34,1005.8,1.58,2,1,0
2022-02-08 00:00:00,36.5203,76.325,20.51,0.99,18.52,1013.7,0.17,2,0,0
2022-02-08 06:00:00,52.0254,117.3522,11.18,7.17,10.84,1014.19,3.64,2,1,0
2022-02-08 12:00:00,74.3543,-143.7705,8.55,8.09,6.88,1017.43,1.1,2,0,0
2022-02-08 18:00:00,40.8925,-93.6453,8.48,3.97,7.62,1021.91,7.09,2,1,0
2022-02-09 00:00:00,60.2461,-128.8901,16.26,6.19,13.44,1006.18,5.12,2,1,0
2022-02-09 06:00:00,64.2729,-54.7411,23.29,3.58,21.01,1012.74,12.86,2,1,0
2022-02-09 12:00:00,40.6937,-17.8736,22.51,7.36,19.59,1011.62,7.64,2,1,0
2022-02-09 18:00:00,62.7697,89.5775,13.88,7.87,13.76,1015.17,1.0,2,1,0
2022-02-10 00:00:00,46.5502,54.4131,14.15,5.29,13.29,1014.08,8.05,2,1,0
2022-02-10 06:00:00,58.4538,43.5343,6.45,7.39,5.87,1011.24,5.13,2,1,0
2022-02-10 12:00:00,58.5088,-53.145,13.85,8.18,13.82,1010.8,5.53,2,1,0
2022-02-10 18:00:00,54.1099,122.9211,12.58,5.21,11.85,1007.42,8.93,2,1,0
2022-02-11 00:00:00,34.063,-10.3366,13.77,3.63,11.73,1017.94,4.26,2,1,0
2022-02-11 06:00:00,67.5886,172.4778,10.53,7.48,9.84,1015.3,3.14,2,1,0
2022-02-11 12:00:00,44.4351,48.2912,11.15,3.15,9.62,1017.59,5.06,2,1,0
2022-02-11 18:00:00,38.3933,-134.5447,8.11,4.8,5.44,1011.45,1.77,2,1,0
2022-02-12 00:00:00,31.8349,63.4239,10.51,8.37,8.43,1009.72,1.01,2,0,0
2022-02-12 06:00:00,56.5902,-62.9626,4.9,7.81,3.71,1007.61,4.79,2,1,0
2022-02-12 12:00:00,60.4904,67.0778,6.48,5.08,5.37,1014.79,1.33,2,0,0
2022-02-12 18:00:00,30.7465,-154.9292,24.0,1.82,22.63,1007.8,0.42,2,0,0
2022-02-13 00:00:00,53.0442,-117.0427,15.17,3.83,14.64,1022.24,0.0,2,1,0
2022-02-13 06:00:00,40.1923,128.0654,17.49,3.02,15.59,1006.46,4.69,2,1,0
2022-02-13 12:00:00,59.0328,-98.2154,21.48,1.76,20.39,1014.37,2.25,2,1,0
2022-02-13 18:00:00,37.8465,121.3348,22.6,6.19,20.05,1020.83,6.98,2,1,0
2022-02-14 00:00:00,61.0922,-79.4606,17.19,2.8,14.92,1016.0,2.35,2,1,0
2022-02-14 06:00:00,47.4031,51.4375,19.6,4.17,17.77,1013.88,3.33,2,1,0
2022-02-14 12:00:00,72.1528,69.8942,10.5,4.54,9.41,1008.16,2.61,2,1,0
2022-02-14 18:00:00,36.1884,4.5557,13.77,8.98,13.14,1006.09,5.26,2,1,0
2022-02-15 00:00:00,45.348,-70.0882,14.71,4.16,12.38,1016.85,2.2,2,1,0
2022-02-15 06:00:00,35.1063,-103.448,18.77,1.26,17.31,1020.53,16.59,2,1,0
2022-02-15 12:00:00,71.6112,-168.0518,16.1,1.61,15.43,1010.81,13.76,2,1,0
2022-02-15 18:00:00,69.4803,-70.5793,11.73,6.05,11.14,1007.3,9.42,2,1,0
2022-02-16 00:00:00,41.6074,55.1386,9.79,6.32,9.29,1000.71,12.65,2,1,0
2022-02-16 06:00:00,59.6993,157.7897,16.9,4.16,14.57,1008.1,2.98,2,1,0
2022-02-16 12:00:00,66.775,133.6336,10.27,4.93,9.58,1012.43,3.84,2,1,0
2022-02-16 18:00:00,54.984,95.7833,19.16,1.02,17.58,1021.0,6.78,2,1,0
2022-02-17 00:00:00,53.8343,103.841,22.2,4.41,20.84,1016.37,5.96,2,1,0
2022-02-17 06:00:00,40.8834,59.3946,19.62,4.58,17.88,1014.53,11.07,2,1,0
2022-02-17 12:00:00,34.1896,-86.2967,21.24,1.57,18.61,1011.0,6.3,2,1,0
2022-02-17 18:00:00,70.3747,146.5902,25.29,0.8,22.68,1010.08,30.79,2,0,0
2022-02-18 00:00:00,70.5188,61.4636,15.89,1.9,14.54,1020.03,2.14,2,1,0
2022-02-18 06:00:00,58.4896,21.7586,18.6,1.45,18.56,1014.0,8.95,2,1,0
2022-02-18 12:00:00,45.2563,-140.0438,16.49,5.73,15.21,1002.49,5.98,2,1,0
2022-02-18 18:00:00,45.7144,-19.06,9.21,3.15,7.39,1009.63,5.88,2,1,0
2022-02-19 00:00:00,62.668,-14.271,2.93,4.22,1.26,1008.71,1.97,2,1,0
2022-02-19 06:00:00,70.37,131.2429,10.4,2.85,8.45,1010.27,7.7,2,1,0
2022-02-19 12:00:00,69.9189,16.7934,16.05,8.56,15.59,1015.81,11.53,2,1,0
2022-02-19 18:00:00,65.0944,-43.0558,12.96,8.04,11.02,1012.46,1.23,2,1,0
2022-02-20 00:00:00,58.8914,171.6481,25.07,1.84,24.52,1012.62,4.91,2,0,0
2022-02-20 06:00:00,33.7863,-140.1406,11.17,4.0,8.92,1019.57,2.49,2,1,0
2022-02-20 12:00:00,37.2733,-27.8826,6.59,3.52,5.57,1009.52,22.8,2,1,0
2022-02-20 18:00:00,70.4349,-164.8711,25.36,3.9,23.23,1022.32,3.26,2,1,0
2022-02-21 00:00:00,57.2893,86.3655,7.17,1.94,7.02,1009.64,1.3,2,0,0
2022-02-21 06:00:00,30.4139,150.5076,17.03,6.17,15.81,1013.45,2.41,2,1,0
2022-02-21 12:00:00,34.5662,-79.1866,18.68,4.82,16.56,1011.59,5.3,2,1,0
2022-02-21 18:00:00,59.8576,129.003,13.03,8.39,12.35,1013.62,0.4,2,0,0
2022-02-22 00:00:00,30.2278,-74.8014,7.9,3.03,5.51,1015.22,4.63,2,1,0
2022-02-22 06:00:00,37.2364,147.8773,5.73,8.36,3.84,1015.17,13.38,2,0,0
2022-02-22 12:00:00,54.693,91.4263,7.28,8.11,5.51,1009.23,9.5,2,0,0
2022-02-22 18:00:00,61.1353,109.7664,15.26,1.99,14.19,1007.39,0.35,2,0,0
2022-02-23 00:00:00,59.3383,-173.5176,19.38,3.75,17.94,1025.52,25.1,2,1,0
2022-02-23 06:00:00,40.0921,166.6117,11.75,2.69,9.96,1010.58,6.0,2,1,0
2022-02-23 12:00:00,62.0481,81.6016,16.28,2.91,14.86,1016.5,0.89,2,1,0
2022-02-23 18:00:00,40.6762,-70.2896,18.73,2.73,16.64,1004.96,0.06,2,1,0
2022-02-24 00:00:00,44.643,118.5821,5.06,6.44,3.76,1011.6,0.94,2,1,0
2022-02-24 06:00:00,63.5921,-78.6524,15.83,4.21,15.22,1012.36,9.11,2,1,0
2022-02-24 12:00:00,59.2335,134.1914,19.27,8.16,18.62,1015.36,0.11,2,0,0
2022-02-24 18:00:00,68.2151,-139.4711,12.55,2.26,12.54,999.39,1.33,2,1,0
2022-02-25 00:00:00,59.5926,73.327,12.74,9.02,11.83,1013.83,7.08,2,1,0
2022-02-25 06:00:00,55.5739,14.6515,19.21,2.42,16.97,1007.25,4.41,2,1,0
2022-02-25 12:00:00,34.2154,-145.2476,23.61,6.32,21.23,1014.62,7.63,2,1,0
2022-02-25 18:00:00,46.5472,-92.9182,18.42,3.37,17.81,1007.82,6.86,2,1,0
2022-02-26 00:00:00,41.9341,-175.5345,16.27,2.02,13.39,1008.72,0.26,2,1,0
2022-02-26 06:00:00,40.9795,-11.2435,21.72,7.19,20.22,1011.63,11.15,2,1,0
2022-02-26 12:00:00,73.7855,-71.5445,12.19,3.75,9.44,1007.74,1.29,2,1,0
2022-02-26 18:00:00,47.6894,35.4087,18.83,5.89,16.71,1010.62,4.03,2,1,0
2022-02-27 00:00:00,70.1421,-72.9944,13.69,5.66,11.52,1007.03,5.17,2,1,0
2022-02-27 06:00:00,58.4012,-72.0291,6.74,5.6,6.48,1003.83,0.92,2,0,0
2022-02-27 12:00:00,65.7665,87.5496,18.79,4.59,18.13,1018.09,18.7,2,1,0
2022-02-27 18:00:00,52.6187,-162.6686,16.75,6.68,16.72,1006.52,3.35,2,1,0
2022-02-28 00:00:00,55.9607,145.0422,10.86,2.12,8.71,1012.11,0.3,2,1,0
2022-02-28 06:00:00,52.1633,126.815,22.76,5.57,21.72,1016.76,13.84,2,1,0
2022-02-28 12:00:00,38.7859,60.4097,3.54,9.31,1.18,1009.93,4.41,2,0,0
2022-02-28 18:00:00,62.5103,33.5598,13.55,1.61,12.54,1008.87,6.01,2,1,0
2022-03-01 00:00:00,42.6348,141.2289,5.55,3.07,3.09,1014.13,3.72,3,1,0
2022-03-01 06:00:00,31.0942,-113.2811,23.24,5.91,22.84,1018.59,9.0,3,1,0
2022-03-01 12:00:00,59.0463,-151.5711,22.1,3.79,21.58,1007.15,0.17,3,0,0
2022-03-01 18:00:00,37.97,-93.7763,11.46,4.58,10.44,1012.25,1.56,3,1,0
2022-03-02 00:00:00,72.3206,106.0482,16.5,1.95,15.27,1004.34,3.17,3,1,0
2022-03-02 06:00:00,72.9268,-167.5187,8.75,5.68,7.7,1011.03,0.4,3,1,0
2022-03-02 12:00:00,71.1689,29.8105,17.18,1.79,14.89,1013.17,6.12,3,1,0
2022-03-02 18:00:00,46.6571,178.3575,11.34,5.18,11.05,1008.73,2.5,3,1,0
2022-03-03 00:00:00,30.6955,128.0506,16.0,7.01,14.95,1010.72,1.59,3,1,0
2022-03-03 06:00:00,71.7743,7.7204,23.93,2.17,21.41,1005.96,0.02,3,0,0
2022-03-03 12:00:00,49.2683,-157.0893,10.8,5.27,10.6,1013.39,6.36,3,1,0
2022-03-03 18:00:00,73.4995,119.2945,2.97,10.14,0.14,1018.28,8.97,3,0,0
2022-03-04 00:00:00,73.3629,35.6323,14.29,6.56,11.34,1007.51,2.51,3,1,0
2022-03-04 06:00:00,68.3854,-138.6241,26.16,6.61,25.0,1009.89,4.15,3,1,0
2022-03-04 12:00:00,43.2502,-146.2114,13.13,4.51,12.26,1015.51,1.29,3,1,0
2022-03-04 18:00:00,47.3294,147.4657,5.95,8.05,4.83,1019.06,4.87,3,0,0
2022-03-05 00:00:00,68.3012,60.9121,12.92,1.53,10.59,1005.53,0.06,3,1,0
2022-03-05 06:00:00,44.2615,118.5432,18.39,1.64,16.6,1012.16,3.35,3,1,0
2022-03-05 12:00:00,37.6272,136.4324,7.8,3.34,5.86,1014.42,5.17,3,1,0
2022-03-05 18:00:00,55.0561,25.838,18.3,3.89,16.03,1012.49,12.52,3,1,0
2022-03-06 00:00:00,72.127,6.2807,25.34,6.73,24.99,1000.62,2.4,3,1,0
2022-03-06 06:00:00,61.3213,-25.0461,18.82,3.39,16.32,1015.51,7.24,3,1,0
2022-03-06 12:00:00,55.6528,-65.8992,7.9,6.95,5.78,1020.6,4.55,3,1,0
2022-03-06 18:00:00,34.3729,-23.5455,14.38,6.74,12.65,1013.58,13.09,3,1,0
2022-03-07 00:00:00,57.6753,98.5967,7.07,6.48,4.4,1007.84,2.54,3,1,0
2022-03-07 06:00:00,74.5524,36.6924,23.8,2.98,21.7,1010.43,1.92,3,1,0
2022-03-07 12:00:00,36.3038,141.3084,11.98,5.92,11.38,1021.85,10.91,3,1,0
2022-03-07 18:00:00,53.3248,-20.3832,12.65,3.97,11.36,1017.55,0.25,3,1,0
2022-03-08 00:00:00,69.4818,38.5522,19.62,1.21,18.13,1016.2,0.73,3,1,0
2022-03-08 06:00:00,63.3346,47.2707,20.07,8.44,19.9,1014.78,0.43,3,0,0
2022-03-08 12:00:00,61.3657,33.011,19.58,1.56,16.72,1009.69,9.26,3,1,0
2022-03-08 18:00:00,61.6118,72.9482,4.53,2.63,4.15,1012.0,0.05,3,1,0
2022-03-09 00:00:00,46.1771,-94.524,20.43,7.49,18.33,1012.61,9.89,3,1,0
2022-03-09 06:00:00,43.2116,4.451,22.9,2.62,21.38,1015.75,3.0,3,1,0
2022-03-09 12:00:00,66.4213,-142.4791,14.38,6.26,14.31,1020.54,0.02,3,1,0
2022-03-09 18:00:00,66.4551,-41.5759,23.43,2.79,20.66,1018.59,2.57,3,1,0
2022-03-10 00:00:00,69.0183,-4.4399,9.49,4.68,6.94,1005.9,1.03,3,1,0
2022-03-10 06:00:00,71.0958,54.8007,12.0,3.4,10.43,1014.12,4.9,3,1,0
2022-03-10 12:00:00,53.0104,162.1912,19.13,3.33,18.45,1016.68,5.69,3,1,0
